iter	Passed	Remaining
433	1373	1790
434	1375	1786
435	1377	1782
436	1380	1778
437	1382	1774
438	1385	1770
439	1387	1766
440	1390	1762
441	1392	1758
442	1395	1754
443	1397	1749
444	1399	1745
445	1402	1741
446	1404	1737
447	1406	1733
448	1409	1729
449	1411	1725
450	1413	1721
451	1415	1716
452	1417	1712
453	1420	1707
454	1422	1703
455	1424	1699
456	1427	1695
457	1429	1691
458	1431	1687
459	1434	1683
460	1436	1679
461	1439	1676
462	1441	1672
463	1444	1668
464	1446	1664
465	1449	1660
466	1451	1656
467	1454	1652
468	1456	1648
469	1458	1645
470	1461	1641
471	1463	1637
472	1465	1633
473	1468	1629
474	1470	1625
475	1472	1621
476	1475	1617
477	1477	1614
478	1480	1610
479	1482	1606
480	1485	1602
481	1488	1599
482	1490	1595
483	1493	1592
484	1495	1588
485	1498	1584
486	1501	1581
487	1503	1577
488	1506	1574
489	1508	1570
490	1511	1566
491	1513	1563
492	1516	1559
493	1518	1555
494	1521	1552
495	1524	1548
496	1526	1545
497	1529	1541
498	1531	1537
499	1533	1533
500	1536	1530
501	1538	1526
502	1541	1522
503	1543	1519
504	1546	1515
505	1549	1512
506	1551	1508
507	1554	1505
508	1556	1501
509	1558	1497
510	1561	1494
511	1564	1490
512	1566	1487
513	1569	1483
514	1571	1480
515	1573	1476
516	1576	1472
517	1578	1468
518	1580	1464
519	1583	1461
520	1585	1457
521	1587	1454
522	1590	1450
523	1592	1446
524	1594	1442
525	1597	1439
526	1599	1435
527	1602	1432
528	1604	1428
529	1606	1424
530	1609	1421
531	1611	1417
532	1613	1413
533	1616	1410
534	1618	1406
535	1620	1403
536	1623	1399
537	1625	1396
538	1628	1392
539	1630	1389
540	1633	1385
541	1635	1382
542	1638	1378
543	1640	1375
544	1643	1372
545	1646	1368
546	1648	1365
547	1651	1361
548	1653	1358
549	1655	1354
550	1658	1351
551	1660	1347
552	1662	1344
553	1665	1340
554	1667	1337
555	1670	1333
556	1672	1330
557	1675	1327
558	1677	1323
559	1680	1320
560	1684	1317
561	1686	1314
562	1688	1310
563	1691	1307
564	1693	1303
565	1696	1300
566	1698	1297
567	1700	1293
568	1703	1290
569	1705	1286
570	1707	1283
571	1710	1279
572	1712	1276
573	1715	1272
574	1717	1269
575	1719	1265
576	1722	1262
577	1724	1259
578	1727	1255
579	1729	1252
580	1731	1248
581	1734	1245
582	1736	1242
583	1739	1238
584	1741	1235
585	1743	1231
586	1745	1228
587	1748	1224
588	1750	1221
589	1752	1217
590	1754	1214
591	1757	1211
592	1759	1207
593	1762	1204
594	1764	1201
595	1767	1197
596	1769	1194
597	1772	1191
598	1775	1188
599	1777	1185
600	1780	1181
601	1782	1178
602	1784	1175
603	1787	1171
604	1789	1168
605	1791	1164
606	1793	1161
607	1796	1158
608	1798	1154
609	1800	1151
610	1803	1147
611	1805	1144
612	1807	1141
613	1809	1137
614	1812	1134
615	1814	1131
616	1816	1127
617	1819	1124
618	1821	1121
619	1824	1118
620	1826	1114
621	1829	1111
622	1831	1108
623	1833	1104
624	1835	1101
625	1838	1098
626	1840	1095
627	1843	1092
628	1845	1088
629	1848	1085
630	1850	1082
631	1853	1079
632	1855	1075
633	1857	1072
634	1860	1069
635	1862	1065
636	1864	1062
637	1867	1059
638	1870	1056
639	1872	1053
640	1875	1050
641	1877	1046
642	1879	1043
643	1882	1040
644	1884	1037
645	1887	1034
646	1888	1030
647	1890	1027
648	1893	1023
649	1895	1020
650	1898	1017
651	1900	1014
652	1903	1011
653	1905	1008
654	1907	1004
655	1910	1001
656	1912	998
657	1915	995
658	1918	992
659	1920	989
660	1922	986
661	1925	982
662	1927	979
663	1930	976
664	1932	973
665	1935	970
666	1937	967
667	1939	964
668	1942	960
669	1944	957
670	1947	954
671	1950	951
672	1952	948
673	1954	945
674	1957	942
675	1959	939
676	1962	936
677	1964	933
678	1967	930
679	1970	927
680	1972	924
681	1975	921
682	1977	918
683	1980	914
684	1982	911
685	1985	908
686	1987	905
687	1989	902
688	1992	899
689	1994	896
690	1996	892
691	1998	889
692	2001	886
693	2003	883
694	2006	880
695	2008	877
696	2010	874
697	2013	871
698	2015	868
699	2018	864
700	2020	861
701	2023	858
702	2025	855
703	2027	852
704	2030	849
705	2032	846
706	2035	843
707	2037	840
708	2039	837
709	2042	834
710	2044	831
711	2046	827
712	2049	824
713	2051	821
714	2054	818
715	2056	815
716	2059	812
717	2061	809
718	2064	806
719	2067	803
720	2069	800
721	2072	797
722	2074	794
723	2077	791
724	2079	788
725	2081	785
726	2084	782
727	2086	779
728	2089	776
729	2091	773
730	2093	770
731	2096	767
732	2098	764
733	2100	761
734	2103	758
735	2105	755
736	2108	752
737	2110	749
738	2113	746
739	2116	743
740	2118	740
741	2121	737
742	2123	734
743	2125	731
744	2128	728
745	2130	725
746	2133	722
747	2135	719
